point,kappa_lambda,kappa_t,c2,cg,c2g
BM1,0,2.349,0,0,0
BM2,0,0,1.385,0,0
BM3,0,2.206,2.532,0,0
BM4,13.67,0.772,0,0,0
BM5,6.579,1.469,0,0,0
BM6,0,0,-2.345,0,2.722
BM7,8.548,0,0,2.561,-2.314
BM8,0,0,0,0,1.429
BM9,14.53,2.469,0,0,-1.468
BM10,8.953,0,2.325,-1.662,0
BM11,0.249,0,0,4.782,0
BM12,-4.324,-2.353,0,-4.699,0
BM13,-14.192,0.834,2.654,0,0
BM14,0,2.234,0,0,1.969
BM15,-11.201,1.058,0,-3.321,0
BM16,0,0,0,-5,-0.888
BM17,0,1.713,0,-5,1.748
BM18,0,1.461,0,4.739,0
BM19,0,0.929,0,5,0
BM20,-14.882,0,0,-5,0
BM21,13.347,0.856,0,-0.849,0
BM22,0,0,-1.711,-5,0
BM23,0,1.64,1.919,-4.236,0
