point,kappa_lambda,kappa_t,c2,cg,c2g,xsec_pb,err_pb
BM1,0,2.349,0,0,0,2.1890131,0.003159
BM2,0,0,1.385,0,0,0.71454983,0.0002791
BM3,0,2.206,2.532,0,0,0.38360912,0.0006128
BM4,13.67,0.772,0,0,0,0.91710838,0.0004746
BM5,6.579,1.469,0,0,0,0.30264886,0.0002178
BM6,0,0,-2.345,0,2.722,1.8247811,0.0008752
BM9,14.53,2.469,0,0,-1.468,3.4202863,0.002409
BM10,8.953,0,2.325,-1.662,0,1.3700995,0.0006934
BM12,-4.324,-2.353,0,-4.699,0,5.178762,0.00383
BM13,-14.192,0.834,2.654,0,0,0.6882885,0.0004797
BM15,-11.201,1.058,0,-3.321,0,7.2376891,0.003534
BM18,0,1.461,0,4.739,0,0.2823994,0.0004824
BM19,0,0.929,0,5,0,0.033542489,6.249e-05
BM21,13.347,0.856,0,-0.849,0,0.11931068,7.983e-05
BM22,0,0,-1.711,-5,0,0.98668435,0.0004762
BM23,0,1.64,1.919,-4.236,0,0.3754109,0.0004934
VAL_SM,1,1,0,0,0,0.032801297,5.398e-05
VAL_c2_3,1,1,3,0,0,2.8012441,0.001746
VAL_c2g_1,1,1,0,0,1,0.36208693,0.0001656
VAL_kl2p45,2.45,1,0,0,0,0.014165452,2.803e-05
VAL_kl5,5,1,0,0,0,0.092093771,6.708e-05
